,name,price,img_url,detail,flavor
55,スパイシーなビーフジャーキー,138,https://www.family.co.jp/content/dam/family/goods/5012688.jpg,黒コショウをきかせ、隠し味に醤油を使用した歯切れのよいビーフジャーキーです。,2
56,こだわりのうに揚げせん,128,https://www.family.co.jp/content/dam/family/goods/4821984.jpg,国産米100%使用、タレに生うにを贅沢に使用した濃厚な味わいです。,3
57,こだわりの黒豆おかき,128,https://www.family.co.jp/content/dam/family/goods/4821724.jpg,国産もち米100%使用、北海道産黒豆100%使用した香ばしい豆の香りが味わえるおかきです。,1
58,こだわりのあられ塩味,128,https://www.family.co.jp/content/dam/family/goods/4821946.jpg,国産米100%使用、赤穂の塩などを加えたバランスの良い味わいです。,3
59,こだわりのあられ醤油味,128,https://www.family.co.jp/content/dam/family/goods/4821953.jpg,国産米100%使用、3種の醤油をブレンドして味付けしました。,3
60,こだわりの揚げ餅塩味,128,https://www.family.co.jp/content/dam/family/goods/4821960.jpg,国産米を100%使用、長崎県五島灘の塩を使用したサクッとやわらかな食感です。,3
61,ポテトチップスはちみつバター味,108,https://www.family.co.jp/content/dam/family/goods/4821694.jpg,北海道製造バターを100%使用した濃厚で贅沢な甘じょっぱい味わいです。,1
62,カリッと香ばしいアーモンドチョコレート,198,https://www.family.co.jp/content/dam/family/goods/4821779.jpg,カリッと焼き上げたアーモンドをチョコでコーティングした商品です。,1
63,コク深い味わいマカダミアナッツチョコレート,198,https://www.family.co.jp/content/dam/family/goods/4821786.jpg,マカダミアナッツにチョコをコーティングした甘くコク深い味わいです。,1
64,濃厚な味わいピスタチオチョコレート,198,https://www.family.co.jp/content/dam/family/goods/4821793.jpg,濃厚な味わいのピスタチオをチョコでコーティングした香ばしい味わいのチョコレートです。,2
65,アーモンド、ヘーゼルナッツ使用2種ナッツのクランチチョコ,198,https://www.family.co.jp/content/dam/family/goods/4821809.jpg,アーモンド、ヘーゼルナッツの2種類を使用した商品です。,1
66,スッキリとした苦味珈琲ビーンズチョコレート,198,https://www.family.co.jp/content/dam/family/goods/4821816.jpg,ローストした珈琲ビーンズにチョコをコーティングしたスッキリとした苦みのチョコレートです。,2
67,香ばしい味わいくるみチョコレート,198,https://www.family.co.jp/content/dam/family/goods/4821823.jpg,アメリカ産のクルミをチョコでコーティングした香ばしい味わいのチョコレートです。,1
68,吉村甘露堂　海苔巻おかき,198,https://www.family.co.jp/content/dam/family/goods/5032297.jpg,風味豊かな有明産海苔を使用した海苔巻おかきです。国産米100%使用しています。,3
69,アレンジいろいろふわもちマシュマロ,108,https://www.family.co.jp/content/dam/family/goods/4821588.jpg,色々なアレンジも楽しめる、丸くてかわいいマシュマロです。,1
70,とんがりcornあっさり塩,108,https://www.family.co.jp/content/dam/family/goods/4821595.jpg,カリッとはじける香ばしさが楽しめます。,3
71,ポップコーン濃厚キャラメル味,149,https://www.family.co.jp/content/dam/family/goods/4821144.jpg,イタリア産キャラメルソースとフランス産岩塩を使用しました。,1
72,厚切りポテトチップスサワークリームオニオン味,138,https://www.family.co.jp/content/dam/family/goods/4821014.jpg,程よい酸味と濃厚クリーミーなコクが味わえます。,3
73,人気4種のおつまみアソート,398,https://www.family.co.jp/content/dam/family/goods/5011681.jpg,さきいか、ドライソーセージ、チータラ、チーズかまぼこを詰め合わせました。,1
74,6種の味わいミックスナッツ,320,https://www.family.co.jp/content/dam/family/goods/5020492.jpg,食べきりサイズの小分けタイプです。,3
75,塩と油を使っていない4種のミックスナッツ,320,https://www.family.co.jp/content/dam/family/goods/5020485.jpg,アーモンド、カシューナッツ、マカダミアナッツ、クルミの4種です。,3
76,人気のナッツをセレクトミックスナッツ,320,https://www.family.co.jp/content/dam/family/goods/5020508.jpg,アーモンド、カシューナッツ、クルミ、マカダミアナッツの4種です。,3
77,みりんの旨み濃厚えび大判焼き,108,https://www.family.co.jp/content/dam/family/goods/4820758.jpg,みりんとカツオの風味が香る醤油ダレを使用しました。,3
78,スナックコンボステーキ&ペッパー味,213,https://www.family.co.jp/content/dam/family/goods/4820734.jpg,コーンスナックとポップコーンが一緒に味わえるスナックです。,2
79,完熟ドライみかん,180,https://www.family.co.jp/content/dam/family/goods/4724001.jpg,ドールが選んだ素材を使ったドライフルーツです。,1
80,ミルクとココアのミニクッキー,108,https://www.family.co.jp/content/dam/family/goods/4821182.jpg,ミルク味とココア味の2色のクッキーです。,1
81,素材の旨みを凝縮皮つき鮭とば,408,https://www.family.co.jp/content/dam/family/goods/5010622.jpg,手作業で吊るして乾燥させ、素材の旨みを凝縮した商品です。,3
82,バナナチップチョコ,149,https://www.family.co.jp/content/dam/family/goods/4821175.jpg,バナナチップをなめらかなチョコレートでコーティングした商品です。,1
83,ごま油の風味豊かないか天&のり天,108,https://www.family.co.jp/content/dam/family/goods/5011759.jpg,するめと瀬戸内産海苔をサクッと揚げてミックスしました。,3
84,トルティーヤチップス　スパイシータコス味,108,https://www.family.co.jp/content/dam/family/goods/4821243.jpg,5種類のスパイスを使用したタコス味があとひく美味しさです。,2
85,ちいさなオールレーズン,118,https://www.family.co.jp/content/dam/family/goods/4821250.jpg,芳醇なレーズンのおいしさをギュッとつめ込みました。,1
86,か～るいチーズスナック,108,https://www.family.co.jp/content/dam/family/goods/4821236.jpg,6種のチーズを使用した、濃厚でサクサク軽い食感です。,3
87,じゃがスティックあっさりうま塩味,108,https://www.family.co.jp/content/dam/family/goods/4820628.jpg,サクッと軽い食感のじゃがいもスナックです。,3
88,サクサク食感のプレーンビスケット,108,https://www.family.co.jp/content/dam/family/goods/4820642.jpg,ほんのりとした甘みが美味しい飽きのこない味わいです。,1
89,とろける食感のキャラメルコーン,108,https://www.family.co.jp/content/dam/family/goods/4820192.jpg,ふわっと広がるやさしい甘さです。,1
90,ポリンキー濃いめんたい味,108,https://www.family.co.jp/content/dam/family/goods/4820208.jpg,たらこの濃厚な旨みにピリッと唐辛子のきいた商品です。,2
91,オー・ザック　コク旨バーベキュー味,108,https://www.family.co.jp/content/dam/family/goods/4820215.jpg,濃厚なバーベキューの味わいに仕上げました。,3
92,直火で焼き上げた胡麻せんべい,108,https://www.family.co.jp/content/dam/family/goods/4820260.jpg,直火で焼き上げたひとくちサイズの胡麻せんべいです。,3
93,6種類のおいしさビスケット&ケーキアソート,298,https://www.family.co.jp/content/dam/family/goods/4820352.jpg,人気の焼菓子をアソートしました。,1
94,8種類のおいしさチョコレートアソート,268,https://www.family.co.jp/content/dam/family/goods/4820468.jpg,8種類のチョコが入った、バラエティ豊かなアソートです。,1
95,ひとくちサイズのミルクチョコレート,268,https://www.family.co.jp/content/dam/family/goods/4820475.jpg,なめらかな口どけのミルクチョコレートを大容量でお楽しみいただけます。,1
96,ひねり揚げ濃厚海老だし味,108,https://www.family.co.jp/content/dam/family/goods/4820239.jpg,深く香ばしい海老のだし塩と、隠し味の味噌のコクが広がります。,3
97,チョコマシュマロ,108,https://www.family.co.jp/content/dam/family/goods/4820505.jpg,口どけなめらかなチョコクリームをふんわりマシュマロで包みました。,1
98,ミニルマンド,108,https://www.family.co.jp/content/dam/family/goods/4820529.jpg,サクッと香ばしいクレープクッキーです。,1
99,ポテトチップス　濃厚コンソメ味,108,https://www.family.co.jp/content/dam/family/goods/4820130.jpg,チキンの旨みをきかせたコク深い味わいです。,3
100,肉の旨みがクセになるジャッキーカルパス,311,https://www.family.co.jp/content/dam/family/goods/5010172.jpg,ジューシーでスパイシーなドライソーセージです。,2
101,完熟ドライマンゴー,180,https://www.family.co.jp/content/dam/family/goods/4721789.jpg,ドールが選んだ素材を使ったドライフルーツです。,1
102,完熟ドライパイナップル,180,https://www.family.co.jp/content/dam/family/goods/4721970.jpg,ドールが選んだ素材を使ったドライフルーツです。,1
103,サッポロポテトバーベQあじ,108,https://www.family.co.jp/content/dam/family/goods/4820048.jpg,チキン&ビーフの奥深い肉の旨みが楽しめるスナックです。,3
104,濃厚な海老の風味　ふわっと揚げ,108,https://www.family.co.jp/content/dam/family/goods/4820222.jpg,口どけやわらかなお米のチップスです。,3
105,スパイシーでコク深い濃厚カレーせん,108,https://www.family.co.jp/content/dam/family/goods/4820307.jpg,10種類の香辛料がきいたカレーせんべいです。サクッと軽い食感で、食べやすいサイズです。,2
106,北海道産昆布を使用おしゃぶり昆布紀州梅,138,https://www.family.co.jp/content/dam/family/goods/4721635.jpg,ほんのり梅味のするおしゃぶり昆布です。食物繊維、カルシウムが豊富です。,2
107,バニラクリームサンドクラッカー,118,https://www.family.co.jp/content/dam/family/goods/4820345.jpg,バニラクリームの甘みとクラッカーの塩味が絶妙なバランスです。,1
108,えんどう豆100%使用えんどう豆スナック,108,https://www.family.co.jp/content/dam/family/goods/4820017.jpg,素材のおいしさそのままのうま塩味です。,1
109,ひとくちサイズのチョコチップクッキー,108,https://www.family.co.jp/content/dam/family/goods/4820338.jpg,たっぷりチョコチップを練り込んだクッキーです。,1
110,こんがり香ばしい焼きえいひれ,216,https://www.family.co.jp/content/dam/family/goods/5010165.jpg,食べやすい短冊状カットの香ばしい焼きえいひれです。,3
